Variable,N,Mean,SD,Min,P25,Median,P75,Max,Missing
Mean distance to school (km),5398,2.778,5.708,0.014,0.78,1.071,2.226,105.991,173
Log mean distance to school,5398,0.986,0.663,0.014,0.577,0.728,1.171,4.673,173
% settlements >10km from school,5398,0.068,0.197,0,0,0,0,1,173
% settlements >30km from school,5398,0.012,0.089,0,0,0,0,1,173
"Schools per 10,000 inhabitants",5571,2.05,1.53,0,1.074,1.718,2.635,21.222,0
"Log schools per 10,000 inhabitants",5571,0.317,1.289,-4.605,0.08,0.547,0.973,3.056,0
Has secondary school (binary),5571,0.95,0.219,0,1,1,1,1,0
Adm. capacity score (behavioral),5533,0.004,0.55,-7.397,-0.325,0.022,0.354,1.994,38
Fiscal autonomy (own rev/total rev),5531,0.083,0.067,0,0.039,0.061,0.107,0.572,40
FPM dependence (FPM/total rev),5507,0.307,0.118,0.001,0.224,0.3,0.386,0.999,64
Transfer dependence,5532,0.803,0.116,0.148,0.743,0.822,0.881,1.831,39
Education spending share,5528,0.294,0.095,0.017,0.226,0.275,0.348,0.669,43
Budget execution rate,5533,0.97,0.043,0.026,0.956,0.984,0.998,1,38
Debt ratio,5027,0.716,0.871,0.011,0.111,0.286,1.085,3.975,544
State adm. capacity score,5570,0.033,0.453,-0.972,-0.216,0.173,0.332,0.804,1
State fiscal autonomy,5570,0.609,0.124,0.197,0.507,0.665,0.709,0.762,1
Population,5571,38309.287,217419.495,856,5348.5,11355,25299,11904961,0
Log population,5571,9.473,1.196,6.752,8.585,9.337,10.139,16.292,0
Log GDP per capita,5570,10.3,0.696,8.821,9.707,10.279,10.785,13.428,1
Log area (km²),5565,6.204,1.279,1.281,5.321,6.032,6.933,11.98,6
Urban share,5565,0.867,0.227,0,0.778,1,1,1,6
Distance to state capital (km),5291,253.52,164.486,1.437,120.829,227.804,358.712,1480.326,280
CAPAG grade (1-4),3681,2.532,0.84,1,2,2,3,4,1890
